,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
95,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft,0.15,,3.0,60,2742,,,32,23Na
96,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft,0.15,,3.0,60,2742,,,32,23Na
97,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft,0.15,,3.0,60,2742,,,32,23Na
98,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft,0.15,,3.0,60,2742,,,32,23Na
99,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft,0.15,,3.0,60,2742,,,32,23Na
100,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft,0.15,,3.0,50,2752,,,32,23Na
101,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft,0.15,,3.0,50,2752,,,32,23Na
102,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft,0.15,,3.0,50,2752,,,32,23Na
103,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft,0.15,,3.0,50,2752,,,32,23Na
104,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft,0.15,,3.0,50,2752,,,32,23Na
105,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft,0.15,,3.0,50,2752,,,32,23Na
106,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft,0.15,,3.0,50,2752,,,32,23Na
107,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft,0.15,,3.0,50,2752,,,32,23Na
108,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft,0.15,,3.0,50,2752,,,32,23Na
